"","y.NPV_mono","y.NPV_AF","y.NPV_decision","x.n_years","x.establishment_cost_mono","x.establishment_cost_AF","x.rubber_main_cost","x.var_rubber_main_cost","x.pepper_main_cost","x.var_pepper_main_cost","x.max_pepper_yield","x.var_pepper_yield","x.max_rubber_yield","x.var_rubber_yield","x.rubber_price","x.pepper_price","x.mono_nutrient","x.var_mono_nutrient","x.mono_nutrient_saved","x.AF_nutrient","x.var_AF_nutrient","x.AF_nutrient_saved","x.cost_water","x.var_cost_water","x.water_competition_probability","x.yield_if_competition","x.var_yield_if_competition","x.var_AF_water","x.mean_AF_water","x.competition_AF_water","x.knowledge_gap_probability","x.var_knowledge_gap_probability"
"152",272611874.160715,529044186.902074,256432312.741359,25,757222.975368642,1004912.93338248,14726.7071774126,7.69199703731293,194730.422031979,11.6970445053433,143.025066805464,15.9649888404751,184.432872997852,13.3388033736152,165917.748213622,91274.2836412286,127.881635108974,6.44980863631855,9221.08200012792,272.493913373006,25.015236099687,10315.7689165652,7657.7607061412,12.4675440083595,0.203653275875797,0.458920542501912,0.153536595570558,16.6272906015522,1538.39135140527,2082.66068828895,0.236889921117579,0.00814312742902807
"153",52128386.8760029,30447485.0288173,-21680901.8471857,25,517282.535686335,1125733.65836004,63803.1061112974,9.93316694931941,1238.55599710126,10.1306343502397,5.46988759634726,12.1925207698543,47.9992165289282,11.0855584910174,172203.902283872,154744.232046025,84.4872725208993,5.60541416497525,20379.6227868427,31.6310969524659,28.0894766101996,21750.6279222551,3471.14228475288,16.8531668800925,0.236999801420678,0.369807868305559,0.111690780582901,17.9634502886939,1976.8803768078,2314.11647101385,0.368974198333615,0.0118636829135836
"154",310085522.390418,634305277.376332,324219754.985913,25,491109.174932245,838550.13168848,41102.1839845568,7.79595926113283,156699.809887,8.31826468140317,104.68456446725,16.5250822328391,200.284272414231,12.7097520039186,185021.341167835,80846.1141460577,16.1449706810425,6.8309766693348,16799.9026842538,303.399678866484,12.6312884671737,76963.3978231738,11670.4391977734,12.8832581700141,0.203011966558524,0.389740688353406,0.158226194314253,17.4711261913762,1474.47748969686,2504.93492754787,0.271094173094112,0.0148006756561506
"155",328628876.571436,812185512.787994,483556636.216558,25,396141.183435979,176303.226413392,47251.5937199083,15.7575229767216,77864.385120218,10.7250449987286,122.388860488212,17.7229274968283,236.712904006361,9.18529033945559,148845.06559245,96669.1424407692,162.323823547287,7.7862155182659,9230.05453917422,165.117838574845,45.3380627307964,42336.6509274282,516.83921970522,5.70242592970401,0.25249935582505,0.41711926068139,0.155329077694084,28.267238951552,612.005034575459,1475.53354949536,0.228129370170166,0.0189652226499336
"156",466844060.852938,701401349.454258,234557288.60132,25,367206.981092624,60594.9855727413,52097.6814242071,7.90663601209198,143204.388385143,12.0364581273479,113.561388495304,14.3405526573306,329.030259828231,14.1890954077873,178891.676597531,83678.4473365317,28.4932468595223,3.60675029368543,47806.084324184,239.720308691423,41.7258893243241,4795.43806355819,16692.0603782765,7.68862899291692,0.285282404747785,0.434575544765902,0.168226561244289,10.429774312216,1285.26267657231,1805.38850141264,0.400098108339686,0.0153791717319179
"157",330412845.882123,773910610.158963,443497764.27684,25,641294.506974573,1357189.43517136,32054.4426221185,13.582577517715,184809.512847426,10.4392884558583,56.9344233400562,15.1494136252776,241.39399932711,16.3760454246288,161878.433688828,116867.807695851,122.799377907142,7.99750968577356,25579.8971764302,170.268494345765,6.66166831056362,121628.933053994,6314.06299229827,3.55524119754347,0.23334750671438,0.382268552466321,0.131244985189958,21.7959008798576,2794.88151859501,1607.03269839347,0.356735669221016,0.0199990207671178
"158",363574538.826794,444332351.794878,80757812.9680839,25,1063790.87230271,932670.336079958,78752.7120681891,12.5452776599198,83598.3141728694,11.6980001741427,154.839409450411,17.7660898639376,260.591636029828,15.5440676027855,163560.039774317,92106.4034843085,82.6588519726621,6.2911975187854,2054.10126544654,87.5035523321884,41.4582123001762,54176.5043885533,16132.9591196001,20.3746187123903,0.179592761483354,0.42343485730762,0.148875705326287,15.5259916160359,1958.81623053514,3046.3162555279,0.20646141817708,0.0152630358349166
"159",69440878.9908738,5273302.86314797,-64167576.1277258,25,885355.09427644,864230.147580244,54914.2739232273,17.1435154691471,248457.872468206,2.12404777201167,211.896959504914,11.2192581241939,55.2751369921676,18.2927858142641,178308.114174446,135385.971122994,70.3022441788893,9.75365339964203,49421.5989548847,111.53474308965,7.64204584040902,8577.21458828775,9924.08959453644,14.9828781774416,0.230500451129828,0.470902004963683,0.199353588189686,7.33796855376718,2482.15003732912,1692.37703275719,0.314852895913537,0.0181672029501836
"160",548070062.688544,1088263620.50992,540193557.82138,25,485669.830086418,153019.94692016,76716.6387041,18.5515041805991,89181.4745244324,8.46823787940857,123.27053194138,13.2108024682675,308.046568421333,10.1401803809155,178388.770919581,132906.003790114,155.13416984205,9.6436616667985,38726.3789574578,26.7858273088328,25.2747611537611,1709.84996782662,4978.94605278511,24.3002969245204,0.294602553933984,0.414052503903935,0.127703280379881,19.4019793851677,1476.87779480941,2215.74934930282,0.247982427319491,0.0218425945363649
"161",194685372.026659,342561659.172376,147876287.145717,25,191314.178415566,300176.869137641,53359.182573481,12.6383365254463,152241.774417162,4.59755154963847,26.5747986572959,19.5659834132897,114.626950290628,17.2080012239088,161523.093223435,94510.4504135622,67.1190589744635,10.7197881837006,58382.4658471247,163.990711644342,22.4046654556421,53890.6510736102,10125.7935676198,20.8612631446706,0.259431574161884,0.325108328359749,0.18791075271879,18.7422520440569,835.852937620151,1160.42736092151,0.359333103430584,0.00997866159116452
